date,load_mw
2017-01-26,42496.375
2017-01-27,41905.875
2017-01-28,37097.541666666664
2017-01-29,36814.041666666664
2017-01-30,40238.208333333336
2017-01-31,38591.041666666664
2017-02-01,39265.208333333336
2017-02-02,39188.958333333336
2017-02-03,38805.291666666664
2017-02-04,36343.291666666664
2017-02-05,36721.166666666664
2017-02-06,40155.416666666664
2017-02-07,39842.0
2017-02-08,40310.708333333336
2017-02-09,41682.291666666664
2017-02-10,41838.208333333336
2017-02-11,39277.333333333336
2017-02-12,38464.875
2017-02-13,40640.5
2017-02-14,40655.958333333336
2017-02-15,39822.75
2017-02-16,38004.416666666664
2017-02-17,38810.875
2017-02-18,34789.625
2017-02-19,34183.375
2017-02-20,35280.416666666664
2017-02-21,37702.541666666664
2017-02-22,37223.75
2017-02-23,38723.458333333336
2017-02-24,38833.75
2017-02-25,34864.708333333336
2017-02-26,34467.208333333336
2017-02-27,39849.833333333336
2017-02-28,41452.0
2017-03-01,40412.666666666664
2017-03-02,39481.166666666664
2017-03-03,40186.083333333336
2017-03-04,36127.375
2017-03-05,35941.416666666664
2017-03-06,39706.541666666664
2017-03-07,39276.416666666664
2017-03-08,38902.875
2017-03-09,37264.291666666664
2017-03-10,38607.5
2017-03-11,34948.791666666664
2017-03-12,34082.166666666664
2017-03-13,37843.833333333336
2017-03-14,37515.375
2017-03-15,37317.833333333336
2017-03-16,38050.5
2017-03-17,37948.916666666664
2017-03-18,33932.125
2017-03-19,31787.666666666668
2017-03-20,37124.958333333336
2017-03-21,37513.875
2017-03-22,38889.208333333336
2017-03-23,39105.25
2017-03-24,38467.291666666664
2017-03-25,34491.791666666664
2017-03-26,34251.619047619046
2017-03-27,38487.708333333336
2017-03-28,38034.666666666664
2017-03-29,37406.166666666664
2017-03-30,35850.375
2017-03-31,34776.75
2017-04-01,32894.541666666664
2017-04-02,32126.416666666668
2017-04-03,35724.375
2017-04-04,36171.5
2017-04-05,35436.708333333336
2017-04-06,35250.5
2017-04-07,35238.083333333336
2017-04-08,31889.208333333332
2017-04-09,30354.333333333332
2017-04-10,34261.708333333336
2017-04-11,34756.708333333336
2017-04-12,34914.166666666664
2017-04-13,35131.75
2017-04-14,32593.375
2017-04-15,30112.625
2017-04-16,30250.0
2017-04-17,32244.833333333332
2017-04-18,35509.0
2017-04-19,35713.166666666664
2017-04-20,35932.833333333336
2017-04-21,35001.833333333336
2017-04-22,31613.375
2017-04-23,30797.708333333332
2017-04-24,35880.375
2017-04-25,37394.708333333336
2017-04-26,37754.083333333336
2017-04-27,37480.916666666664
2017-04-28,36462.708333333336
2017-04-29,32653.708333333332
2017-04-30,30389.083333333332
2017-05-01,32330.5
2017-05-02,35529.625
2017-05-03,35463.875
2017-05-04,34689.25
2017-05-05,34659.708333333336
2017-05-06,31674.666666666668
2017-05-07,30720.208333333332
2017-05-08,35507.25
2017-05-09,35469.958333333336
2017-05-10,34861.166666666664
2017-05-11,34868.0
2017-05-12,34682.833333333336
2017-05-13,30241.666666666668
2017-05-14,29589.5
2017-05-15,33289.875
2017-05-16,33358.375
2017-05-17,34305.666666666664
2017-05-18,34245.875
2017-05-19,34379.625
2017-05-20,30544.583333333332
2017-05-21,29685.875
2017-05-22,33605.625
2017-05-23,33976.958333333336
2017-05-24,33646.875
2017-05-25,34351.833333333336
2017-05-26,32661.291666666668
2017-05-27,28478.25
2017-05-28,27897.333333333332
2017-05-29,28935.833333333332
2017-05-30,31763.541666666668
2017-05-31,32929.208333333336
2017-06-01,32202.291666666668
2017-06-02,32331.166666666668
2017-06-03,28753.541666666668
2017-06-04,27913.166666666668
2017-06-05,32641.083333333332
2017-06-06,33755.75
2017-06-07,32836.833333333336
2017-06-08,33331.541666666664
2017-06-09,33170.958333333336
2017-06-10,29204.875
2017-06-11,27473.833333333332
2017-06-12,31727.083333333332
2017-06-13,33397.333333333336
2017-06-14,33379.416666666664
2017-06-15,32835.625
2017-06-16,31540.958333333332
2017-06-17,29880.541666666668
2017-06-18,29248.75
2017-06-19,33739.708333333336
2017-06-20,33447.791666666664
2017-06-21,33161.875
2017-06-22,32850.208333333336
2017-06-23,31143.208333333332
2017-06-24,28027.125
2017-06-25,27071.166666666668
2017-06-26,31773.291666666668
2017-06-27,32065.166666666668
2017-06-28,32691.708333333332
2017-06-29,33006.625
2017-06-30,32609.75
2017-07-01,28799.416666666668
2017-07-02,27711.375
2017-07-03,32066.333333333332
2017-07-04,33516.875
2017-07-05,33717.625
2017-07-06,34602.0
2017-07-07,33654.666666666664
