,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
85,Peyton Burdick,26,559,Maj-NL,Miami,14,37,33,4,6,2,0,1,2,3,0,18,1,0,0,0,1,0,0.182,0.27,0.333,0.604,680814
86,Jake Burger,27,427,"Maj-AL,Maj-NL","Chicago,Miami",141,540,492,71,123,28,1,34,80,32,0,149,12,0,4,4,1,1,0.25,0.309,0.518,0.828,669394
87,Alec Burleson,24,438,Maj-NL,St. Louis,107,347,315,34,77,20,1,8,36,23,0,45,3,1,2,13,3,1,0.244,0.3,0.391,0.691,676475
88,Michael Busch,25,450,Maj-NL,Los Angeles,27,81,72,9,12,3,0,2,7,8,0,27,0,0,1,0,1,0,0.167,0.247,0.292,0.539,683737
89,Lawrence Butler,22,426,Maj-AL,Oakland,42,129,123,10,26,4,0,4,10,4,0,35,1,0,1,5,0,0,0.211,0.24,0.342,0.582,671732
90,Byron Buxton,29,487,Maj-AL,Minnesota,84,342,299,48,61,17,0,17,42,35,2,108,4,0,4,3,9,0,0.204,0.292,0.431,0.724,621439
91,Jos\xc3\xa9 Caballero,26,426,Maj-AL,Seattle,104,280,231,37,51,9,1,4,26,28,0,66,17,0,4,0,26,3,0.221,0.343,0.32,0.663,676609
92,Trey Cabbage,26,448,Maj-AL,Los Angeles,22,56,53,5,11,3,0,1,7,2,0,26,0,0,1,1,1,1,0.208,0.232,0.321,0.553,663550
93,Miguel Cabrera,40,426,Maj-AL,Detroit,97,366,330,21,85,19,0,4,34,31,0,74,2,0,3,10,0,0,0.258,0.322,0.352,0.674,408234
94,Oswaldo Cabrera,24,426,Maj-AL,New York,113,326,294,35,63,11,0,5,29,25,1,68,2,3,2,6,8,0,0.214,0.279,0.303,0.581,665828
95,Kole Calhoun,35,427,Maj-AL,Cleveland,43,174,157,18,34,7,0,6,25,13,0,37,2,0,2,3,0,1,0.217,0.282,0.376,0.657,594777
96,Willie Calhoun,28,528,Maj-AL,New York,44,149,134,16,32,7,0,5,16,14,1,20,0,0,1,2,0,0,0.239,0.309,0.403,0.712,641432
97,Alex Call,28,426,Maj-NL,Washington,127,436,373,43,75,14,1,8,37,53,0,77,6,3,1,1,9,8,0.201,0.31,0.308,0.618,669743
98,Johan Camargo,29,466,Maj-NL,San Francisco,8,20,18,0,4,0,0,0,2,1,0,4,1,0,0,2,0,0,0.222,0.3,0.222,0.522,622666
99,Junior Caminero,19,426,Maj-AL,Tampa Bay,7,36,34,4,8,1,0,1,7,2,0,8,0,0,0,2,0,0,0.235,0.278,0.353,0.631,691406
100,Luis Campusano,24,433,Maj-NL,San Diego,49,174,163,27,52,7,0,7,30,7,0,21,3,0,1,8,0,0,0.319,0.356,0.491,0.847,669134
101,Alexander Canario,23,426,Maj-NL,Chicago,6,17,17,1,5,1,1,1,6,0,0,8,0,0,0,0,0,0,0.294,0.294,0.647,0.941,672744
102,Jeimer Candelario,29,426,Maj-NL,"Chicago,Washington",139,572,502,77,127,39,3,22,70,52,1,126,13,0,4,11,8,1,0.253,0.336,0.474,0.81,600869
103,Mark Canha,34,426,Maj-NL,"Milwaukee,New York",137,499,429,51,114,25,1,11,62,48,1,77,16,0,6,11,11,1,0.266,0.357,0.406,0.762,592192
105,Dominic Canzone,25,426,"Maj-AL,Maj-NL","Arizona,Seattle",59,182,173,23,38,13,0,6,21,8,0,32,1,0,0,5,1,0,0.22,0.258,0.399,0.657,686527
106,Conner Capel,26,517,Maj-AL,Oakland,31,83,70,6,19,5,0,0,3,12,0,23,1,0,0,1,5,3,0.271,0.386,0.343,0.728,668843
107,Vinny Capra,26,454,Maj-NL,Pittsburgh,8,21,18,3,3,1,0,0,1,2,0,5,0,1,0,0,0,0,0.167,0.25,0.222,0.472,681962
108,Victor Caratini,29,426,Maj-NL,Milwaukee,62,226,201,23,52,4,0,7,25,19,0,45,3,0,3,8,1,1,0.259,0.327,0.383,0.711,605170
109,Dylan Carlson,24,479,Maj-NL,St. Louis,76,255,219,27,48,8,1,5,27,26,0,49,7,0,3,4,3,0,0.219,0.318,0.333,0.651,666185
110,Kerry Carpenter,25,426,Maj-AL,Detroit,118,459,418,57,116,17,2,20,64,32,3,115,8,0,1,5,6,0,0.278,0.34,0.471,0.811,681481
111,Matt Carpenter,37,447,Maj-NL,San Diego,74,232,184,18,33,12,0,5,30,41,0,66,2,0,5,2,1,0,0.179,0.328,0.326,0.654,572761
