,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
339,Nick Loftin,24,428,Maj-AL,Kansas City,19,68,62,10,20,5,1,0,10,4,0,12,1,0,1,0,2,0,0.323,0.368,0.436,0.803,679845
340,Evan Longoria,37,426,Maj-NL,Arizona,72,233,207,24,46,8,0,11,28,23,0,73,0,0,3,7,0,0,0.222,0.296,0.42,0.716,446334
341,Alejo L\xc3\xb3pez,27,448,Maj-NL,Cincinnati,1,2,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0.5,1.0,1.5,664670
342,Irving Lopez,28,426,Maj-NL,St. Louis,5,12,11,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0.0,0.0,0.0,0.0,676761
343,Nicky Lopez,28,426,"Maj-AL,Maj-NL","Atlanta,Kansas City",93,262,225,32,52,8,3,1,25,26,0,40,6,4,1,3,6,2,0.231,0.326,0.307,0.632,670032
344,Brandon Lowe,28,436,Maj-AL,Tampa Bay,108,433,375,58,87,15,1,21,68,49,0,117,6,0,3,8,7,0,0.232,0.328,0.445,0.773,664040
345,Josh Lowe,25,426,Maj-AL,Tampa Bay,135,501,466,71,136,33,2,20,83,31,2,124,1,0,3,6,32,3,0.292,0.335,0.5,0.835,666139
346,Nathaniel Lowe,27,426,Maj-AL,Texas,160,720,620,88,162,38,3,17,81,92,2,165,5,0,3,22,1,0,0.261,0.36,0.415,0.774,663993
347,Marco Luciano,21,426,Maj-NL,San Francisco,14,45,39,4,9,3,0,0,0,6,0,17,0,0,0,0,1,0,0.231,0.333,0.308,0.641,682617
348,Nathan Lukes,28,444,Maj-AL,Toronto,28,31,26,3,5,1,1,0,2,4,0,9,0,0,1,1,0,0,0.192,0.29,0.308,0.598,664770
349,Jordan Luplow,29,426,Maj-AL,"Minnesota,Toronto",39,90,77,11,16,3,0,2,5,12,1,27,1,0,0,1,2,0,0.208,0.322,0.325,0.647,656669
350,Manny Machado,30,428,Maj-NL,San Diego,136,593,536,75,138,21,0,30,90,50,1,107,2,0,5,19,3,2,0.258,0.32,0.465,0.785,592518
351,Nick Madrigal,26,441,Maj-NL,Chicago,91,294,270,34,71,16,1,2,28,10,0,24,9,5,0,3,10,2,0.263,0.311,0.352,0.663,663611
352,Bligh Madris,27,496,Maj-AL,Houston,11,30,26,4,4,1,0,0,0,4,0,7,0,0,0,0,0,0,0.154,0.267,0.192,0.459,676632
353,Drew Maggi,34,581,Maj-NL,Pittsburgh,3,6,6,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0.333,0.333,0.5,0.833,543482
354,Luke Maile,32,426,Maj-NL,Cincinnati,74,199,179,17,42,10,0,6,25,14,0,49,5,1,0,8,2,1,0.235,0.308,0.391,0.699,571912
355,Mart\xc3\xadn Maldonado,36,426,Maj-AL,Houston,114,400,356,32,68,12,0,15,36,29,0,138,3,12,0,9,0,0,0.191,0.258,0.351,0.609,455117
356,Trey Mancini,31,488,Maj-NL,Chicago,78,259,232,31,54,12,0,4,27,21,1,77,1,0,3,5,0,0,0.233,0.296,0.336,0.632,641820
357,Tucupita Marcano,23,495,Maj-NL,Pittsburgh,75,220,202,16,47,12,2,3,18,10,0,35,3,3,2,2,5,2,0.233,0.277,0.356,0.633,672779
358,Manuel Margot,28,426,Maj-AL,Tampa Bay,98,333,308,39,82,21,1,4,38,18,0,54,4,0,3,5,9,3,0.266,0.312,0.38,0.692,622534
359,Jake Marisnick,32,501,"Maj-AL,Maj-NL","Chicago,Detroit,Los Angeles",46,83,76,10,18,3,2,2,10,3,0,21,2,1,1,4,2,3,0.237,0.281,0.408,0.688,545350
360,Cade Marlowe,26,449,Maj-AL,Seattle,34,100,88,14,21,3,2,3,11,12,0,33,0,0,0,1,4,2,0.239,0.33,0.421,0.751,687799
361,Brandon Marsh,25,426,Maj-NL,Philadelphia,132,468,400,57,110,24,5,12,59,59,2,143,4,1,4,4,10,2,0.275,0.37,0.45,0.82,669016
362,Ketel Marte,29,427,Maj-NL,Arizona,148,642,562,93,156,26,9,25,82,71,2,109,4,0,5,16,8,2,0.278,0.36,0.489,0.849,606466
363,Noelvi Marte,21,426,Maj-NL,Cincinnati,34,123,114,15,36,7,0,3,15,8,0,25,1,0,0,1,6,2,0.316,0.366,0.456,0.822,682622
365,Starling Marte,34,483,Maj-NL,New York,84,332,307,37,74,7,1,5,28,15,1,69,8,2,0,8,22,3,0.241,0.294,0.319,0.613,516782
366,J.D. Martinez,35,426,Maj-NL,Los Angeles,110,471,424,61,116,27,2,33,102,34,1,145,2,0,9,11,1,0,0.274,0.324,0.58,0.904,502110
367,J.P. Mart\xc3\xadnez,27,452,Maj-AL,Texas,17,44,40,7,9,1,0,1,4,2,0,16,0,0,2,0,0,0,0.225,0.25,0.325,0.575,679881
368,Nick Martini,33,426,Maj-NL,Cincinnati,29,79,72,10,19,3,1,6,16,5,0,15,2,0,0,1,0,0,0.264,0.329,0.583,0.912,605361
369,Michael Massey,25,426,Maj-AL,Kansas City,128,457,424,42,98,18,1,15,55,24,0,97,4,1,4,3,6,2,0.231,0.276,0.384,0.661,686681
370,Miles Mastrobuoni,27,426,Maj-NL,Chicago,59,146,130,23,32,5,0,1,5,13,0,31,0,3,0,1,13,1,0.246,0.315,0.308,0.622,670156
371,Jorge Mateo,28,426,Maj-AL,Baltimore,115,345,315,56,67,14,2,7,33,21,0,82,1,4,3,8,30,5,0.213,0.262,0.337,0.598,622761
372,Mark Mathias,28,475,Maj-NL,"Pittsburgh,San Francisco",27,72,62,6,14,2,0,0,6,10,0,15,0,0,0,4,3,0,0.226,0.333,0.258,0.591,664029
373,Nick Maton,26,470,Maj-AL,Detroit,92,292,248,29,43,9,0,8,32,38,1,73,3,1,2,4,1,2,0.173,0.289,0.307,0.595,665155
374,Luis Matos,21,427,Maj-NL,San Francisco,76,253,228,24,57,13,1,2,14,20,0,33,3,2,0,3,3,0,0.25,0.319,0.342,0.661,682641
375,Ronny Mauricio,22,426,Maj-NL,New York,26,108,101,11,25,4,0,2,9,7,0,31,0,0,0,2,7,0,0.248,0.296,0.347,0.643,677595
376,James McCann,33,426,Maj-AL,Baltimore,69,226,207,25,46,14,0,6,26,9,0,57,5,3,2,5,3,1,0.222,0.269,0.377,0.646,543510
377,Jake McCarthy,25,426,Maj-NL,Arizona,97,305,269,37,67,7,5,2,16,26,0,60,5,4,1,4,26,4,0.249,0.326,0.335,0.66,664983
378,Chas McCormick,28,426,Maj-AL,Houston,115,457,403,59,110,17,2,22,70,40,0,117,11,1,2,3,19,6,0.273,0.353,0.489,0.842,676801
379,Mason McCoy,28,452,Maj-AL,Toronto,6,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669200
380,Andrew McCutchen,36,453,Maj-NL,Pittsburgh,111,468,388,55,99,19,0,12,42,72,1,100,4,0,4,8,11,3,0.255,0.374,0.397,0.771,457705
381,Reese McGuire,28,426,Maj-AL,Boston,71,204,185,15,49,12,1,1,16,11,0,53,1,2,1,2,2,1,0.265,0.308,0.357,0.665,624512
382,Ryan McKenna,26,433,Maj-AL,Baltimore,87,139,122,23,31,7,0,2,18,9,0,40,3,3,2,4,5,0,0.254,0.316,0.361,0.677,663630
383,Billy McKinney,28,468,Maj-AL,New York,48,147,128,19,29,3,1,6,14,17,1,39,1,0,1,1,1,0,0.227,0.32,0.406,0.726,641856
384,Zach McKinstry,28,427,Maj-AL,Detroit,147,517,463,60,107,21,4,9,35,44,0,113,5,2,3,3,16,6,0.231,0.303,0.352,0.655,656716
385,Matt McLain,23,461,Maj-NL,Cincinnati,89,403,365,65,106,23,4,16,50,31,0,115,7,0,0,5,14,5,0.29,0.357,0.507,0.864,680574
386,Ryan McMahon,28,426,Maj-NL,Colorado,150,618,546,80,132,30,3,23,69,68,2,196,1,0,3,18,4,5,0.242,0.325,0.434,0.759,641857
387,Jeff McNeil,31,430,Maj-NL,New York,154,640,577,75,156,25,4,10,54,39,0,64,18,3,3,4,10,0,0.27,0.334,0.38,0.714,643446
388,Curtis Mead,22,426,Maj-AL,Tampa Bay,24,92,83,12,21,3,1,1,5,7,0,21,2,0,0,3,0,0,0.253,0.326,0.349,0.676,678554
389,Austin Meadows,28,604,Maj-AL,Detroit,5,17,17,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0.118,0.118,0.118,0.235,640457
391,Parker Meadows,23,426,Maj-AL,Detroit,37,145,125,19,29,4,2,3,13,17,1,37,2,0,1,0,8,1,0.232,0.331,0.368,0.699,678009
392,Wade Meckler,23,452,Maj-NL,San Francisco,20,64,56,6,13,1,0,0,4,6,0,25,2,0,0,0,0,0,0.232,0.328,0.25,0.578,685133
393,Francisco Mejia,27,499,Maj-AL,Tampa Bay,50,160,150,22,34,11,0,5,19,6,0,38,1,1,2,2,0,1,0.227,0.258,0.4,0.658,642336
394,MJ Melendez,24,426,Maj-AL,Kansas City,147,598,530,65,125,29,5,16,56,61,2,169,3,0,4,2,6,4,0.236,0.316,0.4,0.716,669004
395,Danny Mendick,29,427,Maj-NL,New York,33,69,65,4,12,3,0,1,4,4,0,15,0,0,0,1,1,0,0.185,0.232,0.277,0.509,664901
396,Joey Meneses,31,426,Maj-NL,Washington,153,652,606,71,166,36,1,13,88,38,0,130,5,0,3,14,0,0,0.274,0.321,0.401,0.722,608841
397,\xc3\x93scar Mercado,28,518,Maj-NL,St. Louis,20,32,31,3,9,3,0,0,5,1,0,4,0,0,0,0,2,1,0.29,0.313,0.387,0.7,640458
398,Whit Merrifield,34,426,Maj-AL,Toronto,144,587,544,65,149,27,0,11,67,34,2,99,3,0,6,15,26,10,0.274,0.317,0.384,0.701,593160
399,Matt Mervis,25,535,Maj-NL,Chicago,27,99,90,8,15,2,0,3,11,8,0,32,1,0,0,1,0,0,0.167,0.242,0.289,0.531,670223
400,Jake Meyers,27,426,Maj-AL,Houston,110,334,303,42,70,16,1,10,33,25,0,84,5,0,1,1,5,2,0.231,0.299,0.389,0.689,676694
401,Drew Millas,25,426,Maj-NL,Washington,11,33,28,1,8,2,0,1,6,4,0,5,0,1,0,2,0,0,0.286,0.375,0.464,0.839,686452
402,Brad Miller,33,487,Maj-AL,Texas,26,63,52,7,11,4,0,0,4,10,0,9,0,0,1,1,0,0,0.212,0.333,0.289,0.622,543543
403,Owen Miller,26,448,Maj-NL,Milwaukee,90,314,291,29,76,17,0,5,27,17,1,61,2,0,4,6,13,2,0.261,0.303,0.371,0.674,680911
404,Shelby Miller,32,579,Maj-NL,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,571946
405,Jos\xc3\xa9 Miranda,25,510,Maj-AL,Minnesota,39,147,139,12,30,4,0,3,13,7,0,24,1,0,0,8,0,0,0.216,0.259,0.309,0.568,669304
406,Calvin Mitchell,24,528,Maj-NL,Pittsburgh,2,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.2,0.0,0.2,668751
407,Garrett Mitchell,24,426,Maj-NL,Milwaukee,18,69,61,10,16,2,1,3,7,7,0,24,0,0,1,0,1,1,0.262,0.333,0.475,0.809,669003
408,Andruw Monasterio,26,426,Maj-NL,Milwaukee,92,315,282,38,73,14,1,3,27,28,0,66,3,0,2,9,7,2,0.259,0.33,0.348,0.678,655316
409,Yo\xc3\xa1n Moncada,28,427,Maj-AL,Chicago,90,348,325,39,83,19,1,11,39,20,0,104,2,0,1,6,1,0,0.255,0.302,0.422,0.723,660162
410,Mickey Moniak,25,427,Maj-AL,Los Angeles,85,323,311,35,87,21,2,14,45,9,1,113,3,0,0,4,6,3,0.28,0.307,0.495,0.802,666160
411,Elehuris Montero,24,426,Maj-NL,Colorado,83,298,275,39,65,15,2,10,37,15,0,106,5,0,3,5,0,0,0.236,0.285,0.415,0.7,660707
412,Coco Montes,26,517,Maj-NL,Colorado,18,41,38,3,7,2,0,1,3,2,0,12,1,0,0,0,0,0,0.184,0.244,0.316,0.56,663796
413,Dylan Moore,30,426,Maj-AL,Seattle,67,165,145,18,30,9,1,7,19,16,0,56,4,0,0,1,7,3,0.207,0.303,0.428,0.731,664238
414,Christopher Morel,24,426,Maj-NL,Chicago,107,429,388,62,96,17,3,26,70,36,0,133,2,1,2,7,6,2,0.247,0.313,0.508,0.821,666624
415,Gabriel Moreno,23,427,Maj-NL,Arizona,109,373,335,33,96,19,1,7,49,29,0,73,3,0,6,17,6,2,0.287,0.343,0.412,0.755,672515
417,Taylor Motter,33,458,Maj-NL,St. Louis,29,82,76,3,13,3,0,0,2,5,0,31,1,0,0,0,0,0,0.171,0.232,0.211,0.442,600301
418,Ryan Mountcastle,26,426,Maj-AL,Baltimore,114,464,419,64,113,20,1,18,67,35,1,107,3,0,7,13,3,1,0.27,0.325,0.451,0.777,663624
419,Mike Moustakas,34,427,"Maj-AL,Maj-NL","Colorado,Los Angeles",112,386,352,43,87,15,0,12,48,23,1,95,3,0,8,7,0,0,0.247,0.293,0.392,0.685,519058
420,Cedric Mullins,28,426,Maj-AL,Baltimore,115,449,400,49,93,23,3,15,73,41,1,100,1,3,4,6,17,3,0.233,0.303,0.418,0.72,656775
421,Max Muncy,32,426,Maj-NL,Los Angeles,133,569,472,95,101,17,1,36,105,85,4,148,6,0,6,8,1,2,0.214,0.337,0.483,0.821,571970
422,Sean Murphy,28,427,Maj-NL,Atlanta,107,433,365,65,93,21,0,21,68,49,0,97,18,0,1,17,0,0,0.255,0.37,0.485,0.854,669221
423,Tom Murphy,32,475,Maj-AL,Seattle,47,159,145,19,42,12,0,8,17,10,0,44,1,0,2,4,0,0,0.29,0.335,0.538,0.873,608596
424,Dane Myers,27,441,Maj-NL,Miami,22,70,67,9,18,3,0,1,9,2,0,19,0,0,1,1,1,1,0.269,0.286,0.358,0.644,667472
425,Wil Myers,32,557,Maj-NL,Cincinnati,35,137,124,11,23,3,0,3,12,11,0,46,0,1,1,3,2,1,0.186,0.25,0.282,0.532,571976
426,Tyler Naquin,32,426,Maj-AL,Chicago,4,8,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,571980
427,Omar Narv\xc3\xa1ez,31,427,Maj-NL,New York,47,142,125,11,26,5,0,2,7,13,0,27,0,1,3,1,0,0,0.208,0.277,0.296,0.573,553882
428,Bo Naylor,23,426,Maj-AL,Cleveland,67,230,198,33,47,13,0,11,32,30,1,53,1,0,1,2,5,0,0.237,0.339,0.47,0.809,666310
429,Josh Naylor,26,426,Maj-AL,Cleveland,119,487,444,52,137,31,0,17,96,33,9,66,3,0,7,11,10,3,0.309,0.355,0.493,0.848,647304
430,Zach Neto,22,426,Maj-AL,Los Angeles,84,329,289,38,65,17,0,9,34,20,0,77,16,1,3,5,5,1,0.225,0.308,0.377,0.685,687263
431,Tyler Nevin,26,426,Maj-AL,Detroit,41,111,95,11,19,3,1,2,10,12,0,25,3,0,1,1,0,1,0.2,0.306,0.316,0.622,663527
432,Kevin Newman,29,473,Maj-NL,Cincinnati,74,253,225,28,57,16,0,3,28,17,0,34,4,2,5,7,8,1,0.253,0.311,0.364,0.675,621028
433,Tom\xc3\xa1s Nido,29,546,Maj-NL,New York,21,59,54,5,7,0,0,0,1,2,0,16,0,2,1,2,0,0,0.13,0.158,0.13,0.288,621512
434,Brandon Nimmo,30,429,Maj-NL,New York,150,673,586,88,161,29,6,24,65,72,0,146,11,1,3,6,3,3,0.275,0.363,0.468,0.831,607043
435,Ryan Noda,27,426,Maj-AL,Oakland,127,495,406,63,93,22,1,16,54,77,1,170,10,0,2,4,3,1,0.229,0.364,0.406,0.77,676116
436,Austin Nola,33,504,Maj-NL,San Diego,50,147,124,9,18,3,0,1,8,17,0,30,2,4,0,4,0,0,0.145,0.259,0.194,0.452,543592
437,Lars Nootbaar,25,426,Maj-NL,St. Louis,116,497,422,73,110,23,1,14,46,70,2,98,1,1,3,7,11,1,0.261,0.365,0.419,0.784,663457
438,Ryan O\'Hearn,29,426,Maj-AL,Baltimore,112,368,346,48,100,22,1,14,60,15,2,82,3,1,3,2,5,1,0.289,0.322,0.48,0.801,656811
439,Logan O\'Hoppe,23,426,Maj-AL,Los Angeles,50,196,179,23,42,6,0,14,28,14,0,48,2,0,1,4,0,1,0.235,0.296,0.503,0.799,681351
440,Brian O\'Keefe,29,446,Maj-AL,Seattle,8,21,19,0,2,2,0,0,2,2,0,7,0,0,0,2,0,0,0.105,0.191,0.211,0.401,657247
441,Tyler O\'Neill,28,441,Maj-NL,St. Louis,71,261,234,26,54,14,0,8,19,27,0,66,0,0,0,5,5,0,0.231,0.31,0.393,0.704,641933
443,Rougned Odor,29,503,Maj-NL,San Diego,59,157,138,21,28,9,0,4,18,17,0,37,2,0,0,2,2,1,0.203,0.299,0.355,0.655,596059
444,Shohei Ohtani,28,454,Maj-AL,Los Angeles,134,595,494,102,150,26,8,44,95,90,20,141,3,0,3,9,20,6,0.304,0.412,0.656,1.068,660271
445,Chris Okey,28,566,Maj-AL,Los Angeles,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,608360
446,Edward Olivares,27,426,Maj-AL,Kansas City,106,382,352,47,93,23,4,12,36,22,1,64,6,0,2,7,11,5,0.264,0.317,0.455,0.771,658668
447,Matt Olson,29,426,Maj-NL,Atlanta,161,715,603,126,170,26,3,54,139,104,8,165,4,0,4,13,1,0,0.282,0.389,0.604,0.992,621566
448,Jonathan Ornelas,23,440,Maj-AL,Texas,8,8,7,2,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0.143,0.25,0.143,0.393,680716
449,Rafael Ortega,32,426,Maj-NL,New York,47,136,114,16,25,3,0,1,8,20,0,33,1,1,0,0,6,1,0.219,0.341,0.272,0.613,542364
450,Joey Ortiz,24,526,Maj-AL,Baltimore,15,34,33,4,7,1,0,0,4,0,0,9,0,0,1,2,0,0,0.212,0.206,0.242,0.448,687401
451,James Outman,26,426,Maj-NL,Los Angeles,149,559,477,83,118,16,3,22,68,66,1,178,12,0,4,4,16,3,0.247,0.351,0.432,0.783,681546
452,Chris Owings,31,549,Maj-NL,Pittsburgh,10,25,25,0,4,0,0,0,0,0,0,12,0,0,0,1,0,0,0.16,0.16,0.16,0.32,572008
453,Marcell Ozuna,32,426,Maj-NL,Atlanta,143,588,526,84,145,29,1,40,100,57,1,134,3,0,2,9,0,0,0.276,0.349,0.563,0.911,542303
454,Cristian Pache,24,426,Maj-NL,Philadelphia,48,95,84,12,20,7,1,2,11,10,0,27,0,1,0,1,2,3,0.238,0.319,0.417,0.736,665506
455,Kevin Padlo,26,525,Maj-AL,Los Angeles,3,8,8,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.125,0.125,0.25,0.375,656821
456,Joshua Palacios,27,426,Maj-NL,Pittsburgh,91,264,247,26,59,9,2,10,40,12,0,56,2,2,1,7,5,0,0.239,0.279,0.413,0.692,641943
457,Richie Palacios,26,426,Maj-NL,St. Louis,32,102,93,9,24,6,0,6,16,6,0,11,1,1,1,1,2,0,0.258,0.307,0.516,0.823,680700
458,Isaac Paredes,24,426,Maj-AL,Tampa Bay,142,567,488,70,122,24,0,31,98,58,0,104,20,0,1,11,1,0,0.25,0.353,0.49,0.843,670623
459,Kyren Paris,21,441,Maj-AL,Los Angeles,15,46,40,4,4,0,0,0,1,4,0,17,1,1,0,0,3,0,0.1,0.2,0.1,0.3,677347
460,Vinnie Pasquantino,25,540,Maj-AL,Kansas City,60,256,228,24,57,17,0,9,26,24,2,30,2,0,1,7,0,0,0.25,0.326,0.443,0.769,686469
461,Joc Pederson,31,426,Maj-NL,San Francisco,120,421,355,59,84,14,3,15,51,56,6,86,7,0,3,12,0,0,0.237,0.349,0.42,0.769,592626
462,Liover Peguero,22,426,Maj-NL,Pittsburgh,59,213,198,21,47,4,1,7,26,11,0,67,1,2,1,6,6,2,0.237,0.28,0.374,0.653,678894
463,Jeremy Pe\xc3\xb1a,25,426,Maj-AL,Houston,148,626,570,80,150,32,3,10,52,43,1,126,8,1,1,11,12,8,0.263,0.323,0.383,0.706,665161
464,David Peralta,35,426,Maj-NL,Los Angeles,131,414,387,47,99,25,1,7,54,19,1,72,2,0,6,8,4,0,0.256,0.29,0.38,0.67,444482
465,Oswald Peraza,23,426,Maj-AL,New York,52,191,173,15,33,8,0,2,14,13,0,50,5,0,0,1,4,3,0.191,0.267,0.272,0.539,672724
466,Geraldo Perdomo,23,426,Maj-NL,Arizona,143,493,406,71,100,20,4,6,47,63,1,85,6,14,4,2,16,4,0.246,0.353,0.36,0.712,672695
467,Everson Pereira,22,426,Maj-AL,New York,27,103,93,6,14,4,0,0,10,8,0,40,2,0,0,1,4,0,0.151,0.233,0.194,0.427,677592
469,Carlos P\xc3\xa9rez,32,427,Maj-AL,Oakland,66,189,168,17,38,4,0,6,20,13,0,40,4,1,3,4,0,0,0.226,0.293,0.357,0.65,542208
470,Carlos P\xc3\xa9rez,26,426,Maj-AL,Chicago,27,53,49,5,10,4,0,1,3,4,0,11,0,0,0,2,0,0,0.204,0.264,0.347,0.611,656024
471,Michael P\xc3\xa9rez,30,426,Maj-NL,New York,3,8,8,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.625,1.125,605421
472,Roberto P\xc3\xa9rez,34,603,Maj-NL,San Francisco,4,15,13,0,1,0,0,0,1,2,0,5,0,0,0,0,0,0,0.077,0.2,0.077,0.277,547379
473,Salvador Perez,33,426,Maj-AL,Kansas City,139,576,534,59,136,21,0,23,80,19,6,134,13,0,8,11,0,0,0.255,0.293,0.423,0.716,521692
474,Blake Perkins,26,426,Maj-NL,Milwaukee,67,168,143,28,31,7,0,4,20,23,0,46,0,2,0,3,5,2,0.217,0.325,0.35,0.675,663368
475,Jace Peterson,33,426,"Maj-AL,Maj-NL","Arizona,Oakland",132,427,371,35,79,10,4,6,37,47,2,100,4,2,3,7,15,2,0.213,0.306,0.31,0.616,607054
476,Tommy Pham,35,427,Maj-NL,"Arizona,New York",127,477,422,55,109,27,3,16,68,47,1,105,2,0,6,11,22,3,0.258,0.331,0.45,0.781,502054
477,Brett Phillips,29,426,Maj-AL,Los Angeles,38,71,63,9,11,1,0,3,6,8,0,36,0,0,0,0,3,1,0.175,0.268,0.333,0.601,621433
478,Kevin Pillar,34,426,Maj-NL,Atlanta,81,206,197,29,45,10,0,9,32,6,0,50,0,0,3,2,4,1,0.228,0.248,0.416,0.664,607680
479,Manny Pi\xc3\xb1a,36,510,Maj-AL,Oakland,4,12,12,1,3,0,0,1,1,0,0,3,0,0,0,1,0,0,0.25,0.25,0.5,0.75,444489
480,Ren\xc3\xa9 Pinto,26,426,Maj-AL,Tampa Bay,38,105,103,10,26,3,0,6,16,2,0,34,0,0,0,2,0,0,0.252,0.267,0.456,0.723,650907
481,Jorge Polanco,29,428,Maj-AL,Minnesota,80,343,302,38,77,18,0,14,48,36,0,88,2,0,3,2,4,0,0.255,0.335,0.454,0.789,593871
482,AJ Pollock,35,480,"Maj-AL,Maj-NL","San Francisco,Seattle",54,144,133,15,22,4,0,5,15,9,0,32,0,0,2,1,0,1,0.165,0.215,0.308,0.524,572041
483,Logan Porter,27,427,Maj-AL,Kansas City,11,38,31,4,6,1,0,1,3,5,0,11,1,1,0,2,0,0,0.194,0.324,0.323,0.647,682515
484,Nick Pratto,24,426,Maj-AL,Kansas City,95,345,306,33,71,16,0,7,35,29,0,138,6,0,4,3,1,1,0.232,0.307,0.353,0.66,668472
485,Jurickson Profar,30,426,Maj-NL,"Colorado,San Diego",125,521,459,55,111,27,2,9,46,50,0,90,6,0,5,11,1,0,0.242,0.321,0.368,0.689,595777
486,Juniel Querecuto,30,426,Maj-NL,St. Louis,9,21,20,2,2,1,0,0,0,1,0,6,0,0,0,0,0,0,0.1,0.143,0.15,0.293,578570
487,Ceddanne Rafaela,22,426,Maj-AL,Boston,28,89,83,11,20,6,0,2,5,4,0,28,1,0,1,2,3,1,0.241,0.281,0.386,0.666,678882
488,Cal Raleigh,26,426,Maj-AL,Seattle,143,561,505,78,117,22,1,30,73,54,1,158,1,0,1,6,0,0,0.232,0.307,0.457,0.764,663728
489,Luke Raley,28,437,Maj-AL,Tampa Bay,117,404,355,56,88,23,3,19,48,28,0,128,18,1,2,2,14,3,0.248,0.333,0.49,0.823,670042
490,Harold Ram\xc3\xadrez,28,426,Maj-AL,Tampa Bay,121,432,398,58,125,19,2,12,68,22,0,78,6,0,6,7,5,3,0.314,0.354,0.462,0.817,623912
491,Jos\xc3\xa9 Ram\xc3\xadrez,30,426,Maj-AL,Cleveland,154,681,602,86,170,34,5,24,80,72,22,72,1,0,6,8,28,6,0.282,0.357,0.475,0.832,608070
492,Heliot Ramos,23,427,Maj-NL,San Francisco,25,60,56,5,10,4,0,1,2,4,0,20,0,0,0,1,0,0,0.179,0.233,0.304,0.537,671218
493,Henry Ramos,31,469,Maj-NL,Cincinnati,23,86,74,9,18,3,1,0,5,11,0,21,1,0,0,2,2,1,0.243,0.349,0.311,0.66,592656
495,J.T. Realmuto,32,427,Maj-NL,Philadelphia,134,535,484,69,120,27,4,20,63,35,3,137,9,0,5,10,15,5,0.248,0.308,0.444,0.752,592663
496,Rob Refsnyder,32,426,Maj-AL,Boston,87,243,202,31,50,9,1,1,28,33,0,47,5,1,1,8,7,2,0.248,0.365,0.317,0.682,608701
497,Zach Remillard,29,426,Maj-AL,Chicago,54,160,147,16,37,7,0,1,18,8,1,48,1,4,0,3,4,3,0.252,0.295,0.32,0.615,621545
498,Anthony Rendon,33,515,Maj-AL,Los Angeles,42,179,145,23,35,6,0,2,22,24,0,25,6,0,4,6,2,0,0.241,0.363,0.324,0.687,543685
499,Hunter Renfroe,31,440,"Maj-AL,Maj-NL","Cincinnati,Los Angeles",139,544,494,60,116,31,0,20,60,44,0,124,3,0,3,15,0,0,0.235,0.3,0.419,0.719,592669
500,Luis Rengifo,26,450,Maj-AL,Los Angeles,125,441,391,55,104,15,4,16,51,40,0,82,6,0,4,3,6,4,0.266,0.34,0.448,0.788,650859
501,Franmil Reyes,27,580,Maj-AL,Kansas City,18,61,55,5,11,0,0,2,7,4,0,21,0,0,2,3,0,0,0.2,0.246,0.309,0.555,614177
502,Pablo Reyes,29,426,Maj-AL,Boston,64,185,167,27,48,9,0,2,20,14,0,21,0,2,2,3,7,2,0.287,0.339,0.377,0.716,622569
503,Bryan Reynolds,28,427,Maj-NL,Pittsburgh,144,635,570,85,150,31,5,24,83,52,2,137,7,0,6,13,12,1,0.263,0.329,0.461,0.791,668804
504,Matt Reynolds,32,578,Maj-NL,Cincinnati,2,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,608703
505,Austin Riley,26,426,Maj-NL,Atlanta,158,710,634,117,179,32,3,37,96,56,4,171,9,0,11,18,3,1,0.282,0.344,0.517,0.861,663586
506,Edwin R\xc3\xados,29,546,Maj-NL,Chicago,18,34,28,3,2,1,0,1,2,5,0,16,1,0,0,0,0,0,0.071,0.235,0.214,0.45,621458
507,Alfonso Rivas III,26,426,Maj-NL,"Pittsburgh,San Diego",48,123,109,8,25,10,1,3,15,9,0,36,3,1,1,1,1,0,0.229,0.303,0.422,0.725,663845
508,Emmanuel Rivera,27,426,Maj-NL,Arizona,86,283,257,32,67,13,0,4,29,22,0,56,0,0,4,9,1,0,0.261,0.315,0.358,0.673,656896
509,Anthony Rizzo,33,487,Maj-AL,New York,98,417,369,45,90,14,0,12,41,35,1,96,12,0,1,10,0,3,0.244,0.329,0.379,0.708,519203
